               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,            0.089658,            0.090706,            0.054774,          0.00082873,                 0.1,           0.0021152,          0.00039885,            0.089825,             0.04584,            0.054728,            0.001221,            0.001221,            0.088921
                  62,            0.090506,            0.091633,            0.055345,          0.00081081,                 0.1,           0.0020068,          0.00037609,            0.089788,              0.0458,            0.054644,           0.0012405,           0.0012405,            0.088741
                  63,             0.08487,            0.084214,            0.054121,          0.00080645,                 0.1,           0.0020056,          0.00032039,            0.089809,            0.045728,            0.054552,           0.0012601,           0.0012601,             0.08856
                  64,            0.088709,            0.078595,            0.054855,          0.00077821,                 0.1,           0.0019252,          0.00031191,            0.089724,            0.045686,            0.054471,           0.0012796,           0.0012796,             0.08838
                  65,             0.08778,            0.072967,            0.054039,          0.00075949,                 0.1,           0.0019615,          0.00037389,            0.089658,            0.045627,            0.054388,           0.0012991,           0.0012991,            0.088199
                  66,            0.090486,            0.080245,            0.055256,          0.00075662,                 0.1,           0.0017812,          0.00036878,            0.089555,            0.045608,             0.05431,           0.0013186,           0.0013186,            0.088019
                  67,            0.091505,            0.085061,            0.054154,          0.00076142,                 0.1,           0.0020749,          0.00049667,            0.089527,            0.045554,            0.054226,           0.0013381,           0.0013381,            0.087838
                  68,             0.08786,             0.08469,            0.054117,          0.00098644,             0.13333,            0.003751,          0.00086682,            0.089443,            0.045516,            0.054141,           0.0013575,           0.0013575,            0.087658
                  69,            0.086303,            0.074017,            0.054513,           0.0010013,             0.13333,           0.0032007,          0.00076678,            0.089361,            0.045516,            0.054058,            0.001377,            0.001377,            0.087477
                  70,            0.091122,            0.073431,            0.055665,           0.0010139,             0.13333,           0.0032194,          0.00072041,             0.08927,            0.045485,            0.053975,           0.0013964,           0.0013964,            0.087296
                  71,            0.091903,            0.067228,            0.053987,          0.00099875,             0.13333,           0.0039955,          0.00097248,            0.089103,              0.0455,            0.053893,           0.0014158,           0.0014158,            0.087116
                  72,            0.085808,            0.078043,             0.05388,               0.001,             0.13333,           0.0050922,           0.0014091,            0.088915,            0.045543,            0.053816,           0.0014352,           0.0014352,            0.086935
                  73,            0.088019,            0.098846,            0.053003,           0.0010204,             0.13333,           0.0053771,           0.0015279,             0.08872,            0.045587,            0.053721,           0.0014546,           0.0014546,            0.086755
                  74,            0.089326,             0.10277,            0.053485,           0.0010152,             0.13333,           0.0052263,           0.0015103,            0.088666,            0.045562,            0.053634,            0.001474,            0.001474,            0.086574
                  75,            0.086588,             0.10183,            0.054071,           0.0010127,             0.13333,           0.0061483,           0.0019379,            0.088613,            0.045552,            0.053544,           0.0014933,           0.0014933,            0.086393
                  76,            0.086168,            0.095206,            0.052799,           0.0010101,             0.13333,           0.0085071,           0.0028624,            0.088723,            0.045447,            0.053414,           0.0015126,           0.0015126,            0.086213
                  77,            0.088441,            0.078298,            0.053898,            0.001005,             0.13333,           0.0094345,           0.0035099,            0.088889,             0.04531,            0.053279,           0.0015319,           0.0015319,            0.086032
                  78,            0.091509,            0.082882,            0.053532,          0.00075094,                 0.1,           0.0096947,           0.0034759,            0.089016,            0.045228,            0.053148,           0.0015512,           0.0015512,            0.085851
                  79,            0.087266,             0.09071,            0.052165,             0.00075,                 0.1,            0.012543,           0.0056961,            0.089156,            0.045142,            0.052986,           0.0015705,           0.0015705,            0.085671
                  80,            0.087977,            0.095958,            0.053585,          0.00073892,                 0.1,            0.012614,           0.0057026,            0.089324,            0.045018,            0.052863,           0.0015898,           0.0015898,             0.08549
                  81,            0.088678,            0.064061,            0.053693,          0.00074813,                 0.1,            0.012668,           0.0057086,            0.089546,            0.044824,            0.052681,            0.001609,            0.001609,            0.085309
                  82,            0.091053,            0.094672,            0.053538,          0.00073892,                 0.1,           0.0098134,           0.0010146,            0.089725,            0.044656,            0.052497,           0.0016282,           0.0016282,            0.085128
                  83,            0.087441,            0.089933,            0.054334,          0.00074074,                 0.1,           0.0098532,           0.0010192,            0.089836,            0.044583,            0.052431,           0.0016474,           0.0016474,            0.084947
                  84,            0.085099,            0.080446,            0.051999,               0.001,             0.13333,            0.006349,           0.0026029,            0.089737,            0.044544,            0.052481,           0.0016666,           0.0016666,            0.084767
                  85,            0.088765,            0.073564,            0.052554,          0.00075188,                 0.1,           0.0090258,           0.0042863,            0.089666,            0.044534,             0.05247,           0.0016858,           0.0016858,            0.084586
                  86,            0.086136,            0.077292,            0.053006,          0.00096735,             0.13333,           0.0045441,          0.00086846,            0.089784,            0.044444,            0.052387,           0.0017049,           0.0017049,            0.084405
                  87,            0.088335,            0.091216,            0.051833,           0.0007109,                 0.1,           0.0022175,          0.00022175,            0.089976,            0.044333,            0.052301,            0.001724,            0.001724,            0.084224
